DestinationID,Name,City,State/UT,Type,Tags,Popularity,RatingCount,BestTimeToVisit,WeatherSummary,Latitude,Longitude,EntryFee,AverageCost,RecommendedDuration,Activities,Accessibility,NearestAirport,NearestRailwayStation,Description,DestinationImage,Hotel1_Name,Hotel1_Link,Hotel1_Price,Hotel2_Name,Hotel2_Link,Hotel2_Price,Hotel3_Name,Hotel3_Link,Hotel3_Price,Hotel4_Name,Hotel4_Link,Hotel4_Price
11,Hampi Ruins,Hampi,Karnataka,Historical,"heritage, architecture, culture, monument, guided tour, photography, historic landmark, open, air, museum, tourist favorite, must visit, photogenic",9.27,97000,Oct-Feb,Dry 20-32°C,15.335,76.46,40,2500-6000,2-3 days,"Coracle ride, cycling",Moderate,Hubli (HBX),Hospet,Open-air museum of ruins,https://upload.wikimedia.org/wikipedia/commons/thumb/8/8e/Virupaksha_Temple_at_Hampi.jpg/1024px-Virupaksha_Temple_at_Hampi.jpg,Inn Lake View,https://www.google.com/search?q=Inn+Lake+View+Hampi+hotel+booking,1365,Heritage Hotel Palace,https://www.google.com/search?q=Heritage+Hotel+Palace+Hampi+hotel+booking,2554,OYO Hampi,https://www.google.com/search?q=OYO+Hampi+Hampi+hotel+booking,3990,Marriott Hampi,https://www.google.com/search?q=Marriott+Hampi+Hampi+hotel+booking,6401
12,Mysore Palace,Mysore,Karnataka,Historical,"heritage, architecture, culture, monument, guided tour, photography, historic landmark, grand, royal, palace, tourist favorite, must visit, photogenic",9.21,134000,Sep-Mar,Mild pleasant,12.2958,76.6586,70,2000-5000,2-3 hrs,Sunday illumination,Good,Mysore (MYQ),Mysore Junction,Grand royal palace,https://upload.wikimedia.org/wikipedia/commons/thumb/a/a4/Mysore_Palace_Morning.jpg/1024px-Mysore_Palace_Morning.jpg,OYO Mysore,https://www.google.com/search?q=OYO+Mysore+Mysore+hotel+booking,1481,Inn Grand,https://www.google.com/search?q=Inn+Grand+Mysore+hotel+booking,2714,ITC Mysore,https://www.google.com/search?q=ITC+Mysore+Mysore+hotel+booking,3875,Hyatt Mysore,https://www.google.com/search?q=Hyatt+Mysore+Mysore+hotel+booking,6777
13,Golden Temple,Amritsar,Punjab,Religious,"spiritual place, devotional visit, temple, pilgrimage, spiritual, holy site, devotional, cultural importance, holiest, sikh, shrine, tourist favorite, must visit, photogenic",9.55,298000,Oct-Mar,Cold 5-22°C,31.62,74.8765,0,1500-4000,Full day,Langar meal,Excellent,Amritsar (ATQ),Amritsar Junction,Holiest Sikh shrine,https://upload.wikimedia.org/wikipedia/commons/thumb/9/94/The_Golden_Temple_of_Amrithsar_7.jpg/1024px-The_Golden_Temple_of_Amrithsar_7.jpg,Boutique Hotel Royal,https://www.google.com/search?q=Boutique+Hotel+Royal+Amritsar+hotel+booking,1283,Heritage Hotel Crown,https://www.google.com/search?q=Heritage+Hotel+Crown+Amritsar+hotel+booking,2866,Palace Hotel Heritage,https://www.google.com/search?q=Palace+Hotel+Heritage+Amritsar+hotel+booking,4332,Treebo Amritsar,https://www.google.com/search?q=Treebo+Amritsar+Amritsar+hotel+booking,6842
14,Ranthambore Tiger Reserve,Sawai Madhopur,Rajasthan,Wildlife,"safari, wild animals, forest, nature photography, bird watching, jungle exploration, best, tiger, sightings, tourist favorite, must visit, photogenic",9.19,85000,Oct-Jun,Mild winters,26.0173,76.5026,1500,8000-15000,2-3 days,Jeep safari,Moderate,Jaipur (JAI),Sawai Madhopur,Best tiger sightings,https://upload.wikimedia.org/wikipedia/commons/thumb/7/7f/Ranthambore_National_Park.JPG/1024px-Ranthambore_National_Park.JPG,Heritage Hotel Crown,https://www.google.com/search?q=Heritage+Hotel+Crown+Sawai+Madhopur+hotel+booking,1694,Boutique Hotel Heritage,https://www.google.com/search?q=Boutique+Hotel+Heritage+Sawai+Madhopur+hotel+booking,2504,Heritage Hotel Royal,https://www.google.com/search?q=Heritage+Hotel+Royal+Sawai+Madhopur+hotel+booking,3861,Lodge Sawai Madhopur,https://www.google.com/search?q=Lodge+Sawai+Madhopur+Sawai+Madhopur+hotel+booking,6408
15,Sundarbans,Kolkata,West Bengal,Wildlife,"safari, wild animals, forest, nature photography, bird watching, jungle exploration, largest, mangrove, tourist favorite, must visit, photogenic",9.08,76000,Sep-Mar,Pleasant 20-30°C,21.9497,88.9975,300,5000-12000,2-4 days,Boat safari,Limited,Kolkata (CCU),Canning,Largest mangrove forest,https://upload.wikimedia.org/wikipedia/commons/thumb/6/6b/Save_the_sundarbans_20.jpg/1024px-Save_the_sundarbans_20.jpg,Resort Imperial,https://www.google.com/search?q=Resort+Imperial+Kolkata+hotel+booking,1935,Boutique Hotel Imperial,https://www.google.com/search?q=Boutique+Hotel+Imperial+Kolkata+hotel+booking,2608,Inn Grand,https://www.google.com/search?q=Inn+Grand+Kolkata+hotel+booking,4026,Hotel Crown,https://www.google.com/search?q=Hotel+Crown+Kolkata+hotel+booking,6660
16,Kaziranga National Park,Jorhat,Assam,Wildlife,"safari, wild animals, forest, nature photography, bird watching, jungle exploration, home, rare, rhinos, tourist favorite, must visit, photogenic",9.25,68000,Nov-Apr,Cool pleasant,26.578,93.1712,2500,8000-18000,2-3 days,Elephant safari,Moderate,Jorhat (JRH),Furqating,Home to rare rhinos,https://upload.wikimedia.org/wikipedia/commons/thumb/f/fe/Beauty_of_Kaziranga_National_Park.jpg/1024px-Beauty_of_Kaziranga_National_Park.jpg,Hotel Royal,https://www.google.com/search?q=Hotel+Royal+Jorhat+hotel+booking,1497,Lemon Tree Jorhat,https://www.google.com/search?q=Lemon+Tree+Jorhat+Jorhat+hotel+booking,2454,ITC Jorhat,https://www.google.com/search?q=ITC+Jorhat+Jorhat+hotel+booking,4035,Hyatt Jorhat,https://www.google.com/search?q=Hyatt+Jorhat+Jorhat+hotel+booking,6394
17,Valley of Flowers,Chamoli,Uttarakhand,Nature,"scenic views, peaceful, greenery, outdoors, nature walk, landscape, fresh air, carpet, himalayan, flowers, tourist favorite, must visit, photogenic",9.12,45000,Jun-Sep,Mild 10-20°C,30.7267,79.606,600,8000-15000,3-5 days,High-altitude trek,Challenging,Dehradun (DED),Rishikesh,Carpet of Himalayan flowers,https://upload.wikimedia.org/wikipedia/commons/thumb/a/ab/Valley_of_Flowers_Uttarakhand.jpg/1024px-Valley_of_Flowers_Uttarakhand.jpg,Treebo Chamoli,https://www.google.com/search?q=Treebo+Chamoli+Chamoli+hotel+booking,1727,Inn Chamoli,https://www.google.com/search?q=Inn+Chamoli+Chamoli+hotel+booking,2223,Lodge Chamoli,https://www.google.com/search?q=Lodge+Chamoli+Chamoli+hotel+booking,3946,Inn Royal,https://www.google.com/search?q=Inn+Royal+Chamoli+hotel+booking,6251
18,Dal Lake,Srinagar,Jammu and Kashmir,Nature,"lake view, serene spot, scenic views, peaceful, greenery, outdoors, nature walk, landscape, fresh air, floating, gardens, houseboats, tourist favorite, must visit",9.3,168000,Apr-Oct,Pleasant summers,34.0671,74.832,0,5000-20000,2-4 days,Shikara ride,Good,Srinagar (SXR),Srinagar,Floating gardens and houseboats,https://upload.wikimedia.org/wikipedia/commons/thumb/b/b7/Dal_Lake_Srinagar.jpg/1024px-Dal_Lake_Srinagar.jpg,Palace Hotel Srinagar,https://www.google.com/search?q=Palace+Hotel+Srinagar+Srinagar+hotel+booking,1492,Boutique Hotel Grand,https://www.google.com/search?q=Boutique+Hotel+Grand+Srinagar+hotel+booking,2641,Inn Imperial,https://www.google.com/search?q=Inn+Imperial+Srinagar+hotel+booking,4482,Hotel Heritage,https://www.google.com/search?q=Hotel+Heritage+Srinagar+hotel+booking,6252
19,Jaisalmer Fort,Jaisalmer,Rajasthan,Historical,"historic fort, panoramic view, heritage, architecture, culture, monument, guided tour, photography, historic landmark, living, fort, thar, tourist favorite, must visit",9.24,89000,Oct-Mar,Cool winters,26.9124,70.9125,500,4000-10000,1-2 days,Desert camp,Moderate,Jaisalmer (JSA),Jaisalmer,Living fort in Thar Desert,https://upload.wikimedia.org/wikipedia/commons/thumb/7/7b/Jaisalmer_fort.jpg/1024px-Jaisalmer_fort.jpg,Resort Imperial,https://www.google.com/search?q=Resort+Imperial+Jaisalmer+hotel+booking,1766,Lodge Jaisalmer,https://www.google.com/search?q=Lodge+Jaisalmer+Jaisalmer+hotel+booking,2982,Boutique Hotel Grand,https://www.google.com/search?q=Boutique+Hotel+Grand+Jaisalmer+hotel+booking,3831,Lemon Tree Jaisalmer,https://www.google.com/search?q=Lemon+Tree+Jaisalmer+Jaisalmer+hotel+booking,6582
20,Radhanagar Beach,Havelock,Andaman and Nicobar Islands,Beach,"beach destination, relaxing spot, tropical, sunset view, water sports, scuba diving, relaxing, beach walk, seafood, asia, s, best, tourist favorite, must visit",9.35,112000,Oct-Apr,Tropical warm,11.9843,93.0153,0,15000-40000,Full day,Scuba diving,Good,Port Blair (IXZ),No railway,Asia's best beach,https://upload.wikimedia.org/wikipedia/commons/thumb/9/96/Radhanagar_Beach_Havelock.jpg/1024px-Radhanagar_Beach_Havelock.jpg,Hyatt Havelock,https://www.google.com/search?q=Hyatt+Havelock+Havelock+hotel+booking,1771,ITC Havelock,https://www.google.com/search?q=ITC+Havelock+Havelock+hotel+booking,2403,Lemon Tree Havelock,https://www.google.com/search?q=Lemon+Tree+Havelock+Havelock+hotel+booking,4212,Hotel Lake View,https://www.google.com/search?q=Hotel+Lake+View+Havelock+hotel+booking,6930
21,Wagah Border,Amritsar,Punjab,Cultural,"india, pakistan, border, tourist favorite, must visit, photogenic",9.05,98000,Year-round,All seasons,31.6042,74.5718,0,1000-3000,2-3 hrs,Flag ceremony,Excellent,Amritsar (ATQ),Attari,India-Pakistan border parade,https://upload.wikimedia.org/wikipedia/commons/thumb/b/b2/Flag_ceremony_Wagah.jpg/1024px-Flag_ceremony_Wagah.jpg,Lodge Amritsar,https://www.google.com/search?q=Lodge+Amritsar+Amritsar+hotel+booking,1352,OYO Amritsar,https://www.google.com/search?q=OYO+Amritsar+Amritsar+hotel+booking,2343,Palace Hotel Imperial,https://www.google.com/search?q=Palace+Hotel+Imperial+Amritsar+hotel+booking,3866,Palace Hotel Crown,https://www.google.com/search?q=Palace+Hotel+Crown+Amritsar+hotel+booking,6807
22,Mehrangarh Fort,Jodhpur,Rajasthan,Historical,"historic fort, panoramic view, heritage, architecture, culture, monument, guided tour, photography, historic landmark, fort, above, blue, tourist favorite, must visit",9.28,94000,Oct-Mar,Pleasant winters,26.2975,73.0181,200,2500-6000,2-3 hrs,"Museum, zip-line",Good,Jodhpur (JDH),Jodhpur Junction,Fort above Blue City,https://upload.wikimedia.org/wikipedia/commons/thumb/9/9d/Mehrangarh_Fort.jpg/1024px-Mehrangarh_Fort.jpg,Boutique Hotel Jodhpur,https://www.google.com/search?q=Boutique+Hotel+Jodhpur+Jodhpur+hotel+booking,1925,Lodge Royal,https://www.google.com/search?q=Lodge+Royal+Jodhpur+hotel+booking,2577,Hotel Heritage,https://www.google.com/search?q=Hotel+Heritage+Jodhpur+hotel+booking,4297,Heritage Hotel Royal,https://www.google.com/search?q=Heritage+Hotel+Royal+Jodhpur+hotel+booking,6811
23,Konark Sun Temple,Konark,Odisha,Historical,"spiritual place, devotional visit, heritage, architecture, culture, monument, guided tour, photography, historic landmark, century, sun, chariot, tourist favorite, must visit",9.14,78000,Nov-Feb,Cool pleasant,19.8876,86.0945,40,2000-5000,2-3 hrs,Temple tour,Good,Bhubaneswar (BBI),Puri,13th-century sun chariot,https://upload.wikimedia.org/wikipedia/commons/thumb/5/55/Konarka_Temple.jpg/800px-Konarka_Temple.jpg,Heritage Hotel Palace,https://www.google.com/search?q=Heritage+Hotel+Palace+Konark+hotel+booking,1938,Lodge Lake View,https://www.google.com/search?q=Lodge+Lake+View+Konark+hotel+booking,2736,Lemon Tree Konark,https://www.google.com/search?q=Lemon+Tree+Konark+Konark+hotel+booking,3851,Radisson Konark,https://www.google.com/search?q=Radisson+Konark+Konark+hotel+booking,6232
24,Mahabodhi Temple,Bodh Gaya,Bihar,Religious,"spiritual place, devotional visit, temple, pilgrimage, spiritual, holy site, devotional, cultural importance, where, buddha, attained, tourist favorite, must visit, photogenic",9.4,87000,Oct-Mar,Cool winters,24.6961,84.9914,0,1500-4000,1-2 days,Meditation,Excellent,Gaya (GAY),Gaya Junction,Where Buddha attained enlightenment,https://upload.wikimedia.org/wikipedia/commons/thumb/4/4e/Mahabodhitemple.jpg/1024px-Mahabodhitemple.jpg,Heritage Hotel Grand,https://www.google.com/search?q=Heritage+Hotel+Grand+Bodh+Gaya+hotel+booking,1395,Inn Heritage,https://www.google.com/search?q=Inn+Heritage+Bodh+Gaya+hotel+booking,2355,Resort Heritage,https://www.google.com/search?q=Resort+Heritage+Bodh+Gaya+hotel+booking,4213,Treebo Bodh Gaya,https://www.google.com/search?q=Treebo+Bodh+Gaya+Bodh+Gaya+hotel+booking,6953
25,Darjeeling Tea Gardens,Darjeeling,West Bengal,Nature,"scenic views, peaceful, greenery, outdoors, nature walk, landscape, fresh air, queen, hills, tourist favorite, must visit, photogenic",9.22,124000,Mar-May/Oct-Dec,Cool pleasant,27.036,88.2627,0,4000-10000,3-5 days,Toy train ride,Moderate,Bagdogra (IXB),Darjeeling,Queen of Hills,https://upload.wikimedia.org/wikipedia/commons/thumb/3/35/Ooty_Lake_India.jpg/1024px-Ooty_Lake_India.jpg,ITC Darjeeling,https://www.google.com/search?q=ITC+Darjeeling+Darjeeling+hotel+booking,1731,Inn Darjeeling,https://www.google.com/search?q=Inn+Darjeeling+Darjeeling+hotel+booking,2738,Resort Darjeeling,https://www.google.com/search?q=Resort+Darjeeling+Darjeeling+hotel+booking,4245,Inn Crown,https://www.google.com/search?q=Inn+Crown+Darjeeling+hotel+booking,6824
26,Jim Corbett National Park,Ramnagar,Uttarakhand,Wildlife,"safari, wild animals, forest, nature photography, bird watching, jungle exploration, india, s, oldest, tourist favorite, must visit, photogenic",9.18,92000,Nov-Jun,Pleasant winters,29.53,78.7745,2000,8000-20000,2-3 days,Jeep safari,Moderate,Pantnagar (PGH),Ramnagar,India's oldest national park,https://upload.wikimedia.org/wikipedia/commons/thumb/7/78/Bengal-Tiger_Corbett_Uttarakhand_Dec-2013.jpg/1024px-Bengal-Tiger_Corbett_Uttarakhand_Dec-2013.jpg,Resort Crown,https://www.google.com/search?q=Resort+Crown+Ramnagar+hotel+booking,1771,Inn Crown,https://www.google.com/search?q=Inn+Crown+Ramnagar+hotel+booking,2921,Heritage Hotel Ramnagar,https://www.google.com/search?q=Heritage+Hotel+Ramnagar+Ramnagar+hotel+booking,4024,Palace Hotel Crown,https://www.google.com/search?q=Palace+Hotel+Crown+Ramnagar+hotel+booking,6494
27,Gateway of India,Mumbai,Maharashtra,Historical,"heritage, architecture, culture, monument, guided tour, photography, historic landmark, mumbai, s, iconic, tourist favorite, must visit, photogenic",9.11,215000,Nov-Feb,Cool winters,18.9217,72.8347,0,2000-5000,1-2 hrs,Ferry to Elephanta,Excellent,Mumbai (BOM),Churchgate,Mumbai's iconic landmark,https://upload.wikimedia.org/wikipedia/commons/thumb/f/f2/City_Palace_Udaipur.jpg/1024px-City_Palace_Udaipur.jpg,Heritage Hotel Heritage,https://www.google.com/search?q=Heritage+Hotel+Heritage+Mumbai+hotel+booking,1604,ITC Mumbai,https://www.google.com/search?q=ITC+Mumbai+Mumbai+hotel+booking,2497,Heritage Hotel Grand,https://www.google.com/search?q=Heritage+Hotel+Grand+Mumbai+hotel+booking,4054,Marriott Mumbai,https://www.google.com/search?q=Marriott+Mumbai+Mumbai+hotel+booking,6965
28,Lake Palace,Udaipur,Rajasthan,Historical,"lake view, serene spot, heritage, architecture, culture, monument, guided tour, photography, historic landmark, floating, palace, on, tourist favorite, must visit",9.33,156000,Oct-Mar,Pleasant winters,24.5727,73.6855,0,5000-15000,2-4 days,Boat ride,Excellent,Udaipur (UDR),Udaipur City,Floating palace on Lake Pichola,https://upload.wikimedia.org/wikipedia/commons/thumb/5/5b/Naini_Lake_Nainital.jpg/1024px-Naini_Lake_Nainital.jpg,Resort Crown,https://www.google.com/search?q=Resort+Crown+Udaipur+hotel+booking,1775,ITC Udaipur,https://www.google.com/search?q=ITC+Udaipur+Udaipur+hotel+booking,2311,Radisson Udaipur,https://www.google.com/search?q=Radisson+Udaipur+Udaipur+hotel+booking,3948,Palace Hotel Palace,https://www.google.com/search?q=Palace+Hotel+Palace+Udaipur+hotel+booking,6853
29,Meenakshi Temple,Madurai,Tamil Nadu,Religious,"spiritual place, devotional visit, temple, pilgrimage, spiritual, holy site, devotional, cultural importance, colorful, south, indian, tourist favorite, must visit, photogenic",9.26,118000,Oct-Mar,Warm pleasant,9.9252,78.1198,50,2000-6000,Full day,Temple rituals,Moderate,Madurai (IXM),Madurai Junction,Colorful South Indian temple,https://upload.wikimedia.org/wikipedia/commons/thumb/e/e9/An_aerial_view_of_Madurai_city_from_atop_of_Meenakshi_Amman_temple.jpg/1024px-An_aerial_view_of_Madurai_city_from_atop_of_Meenakshi_Amman_temple.jpg,Hotel Heritage,https://www.google.com/search?q=Hotel+Heritage+Madurai+hotel+booking,1538,Oberoi Madurai,https://www.google.com/search?q=Oberoi+Madurai+Madurai+hotel+booking,2897,Taj Madurai,https://www.google.com/search?q=Taj+Madurai+Madurai+hotel+booking,4263,ITC Madurai,https://www.google.com/search?q=ITC+Madurai+Madurai+hotel+booking,6616
